,ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
48,106,Temperature,2019,12,2,2019-12-02,28079106_83_98_19_12_02,13.041666666666664,41.0,4.0,ºC
49,36,Temperature,2019,12,2,2019-12-02,28079036_83_98_19_12_02,5.166666666666667,28.0,1.0,ºC
50,108,Temperature,2019,12,2,2019-12-02,28079108_83_98_19_12_02,22.04166666666667,76.0,4.0,ºC
51,59,Temperature,2019,12,2,2019-12-02,28079059_83_98_19_12_02,0.3708333333333334,1.5,0.1,ºC
52,114,Temperature,2019,12,2,2019-12-02,28079114_83_98_19_12_02,2.875,7.0,1.0,ºC
53,102,Precipitation,2019,12,2,2019-12-02,28079102_89_98_19_12_02,21.166666666666668,50.0,8.0,l/m^2
54,103,Temperature,2019,12,2,2019-12-02,28079103_83_98_19_12_02,1.125,2.0,1.0,ºC
55,54,Precipitation,2019,12,2,2019-12-02,28079054_89_98_19_12_02,23.5,53.0,6.0,l/m^2
56,110,Temperature,2019,12,2,2019-12-02,28079110_83_98_19_12_02,21.25,49.0,4.0,ºC
57,38,Temperature,2019,12,2,2019-12-02,28079038_83_98_19_12_02,0.10000000000000003,0.1,0.1,ºC
58,112,Temperature,2019,12,2,2019-12-02,28079112_83_98_19_12_02,21.91666666666667,58.0,5.0,ºC
59,115,Temperature,2019,12,2,2019-12-02,28079115_83_98_19_12_02,3.208333333333333,20.0,1.0,ºC
60,111,Temperature,2019,12,2,2019-12-02,28079111_83_98_19_12_02,27.25,75.0,7.0,ºC
61,107,Precipitation,2019,12,2,2019-12-02,28079107_89_98_19_12_02,18.916666666666668,42.0,4.0,l/m^2
62,56,Temperature,2019,12,2,2019-12-02,28079056_83_98_19_12_02,5.791666666666668,8.0,4.0,ºC
63,4,Temperature,2019,12,2,2019-12-02,28079004_83_98_19_12_02,14.666666666666664,18.0,12.0,ºC
64,56,Precipitation,2019,12,2,2019-12-02,28079056_89_98_19_12_02,25.75,55.0,5.0,l/m^2
65,39,Precipitation,2019,12,2,2019-12-02,28079039_89_98_19_12_02,81.93749999999999,94.84,67.14,l/m^2
66,103,Temperature,2019,12,3,2019-12-03,28079103_83_98_19_12_03,0.4291666666666667,0.8,0.2,ºC
67,106,Temperature,2019,12,3,2019-12-03,28079106_83_98_19_12_03,82.08416666666669,100.7,40.7,ºC
68,36,Temperature,2019,12,3,2019-12-03,28079036_83_98_19_12_03,1.2720833333333337,1.28,1.26,ºC
69,107,Precipitation,2019,12,3,2019-12-03,28079107_89_98_19_12_03,15.875,55.0,2.0,l/m^2
70,106,Precipitation,2019,12,3,2019-12-03,28079106_89_98_19_12_03,37.208333333333336,79.0,7.0,l/m^2
71,108,Temperature,2019,12,3,2019-12-03,28079108_83_98_19_12_03,0.19166666666666668,0.3,0.1,ºC
72,59,Precipitation,2019,12,3,2019-12-03,28079059_89_98_19_12_03,0.4708333333333334,1.3,0.1,l/m^2
73,54,Temperature,2019,12,3,2019-12-03,28079054_83_98_19_12_03,0.2208333333333334,0.3,0.2,ºC
74,4,Temperature,2019,12,3,2019-12-03,28079004_83_98_19_12_03,0.4958333333333335,1.2,0.2,ºC
75,59,Temperature,2019,12,3,2019-12-03,28079059_83_98_19_12_03,0.25,0.4,0.2,ºC
76,35,Temperature,2019,12,3,2019-12-03,28079035_83_98_19_12_03,7.875,12.0,4.0,ºC
77,107,Temperature,2019,12,3,2019-12-03,28079107_83_98_19_12_03,0.11666666666666672,0.2,0.1,ºC
78,58,Temperature,2019,12,3,2019-12-03,28079058_83_98_19_12_03,1.4016666666666666,1.66,1.38,ºC
79,102,Temperature,2019,12,3,2019-12-03,28079102_83_98_19_12_03,0.20000000000000007,0.4,0.1,ºC
80,110,Temperature,2019,12,3,2019-12-03,28079110_83_98_19_12_03,17.666666666666668,44.0,3.0,ºC
81,111,Temperature,2019,12,3,2019-12-03,28079111_83_98_19_12_03,26.29166666666667,56.0,5.0,ºC
